leaf,kernel,mode,radius,L,neighbours,count,total,key,threshold,maxPointsLeaf
251311,cube,cartesian,3,1.95324,51,51,51,0,16,128
27338,cube,cartesian,3,3.90648,1,13,22,0,16,128
27339,cube,cartesian,3,3.90648,0,0,66,0,16,128
3779,cube,cartesian,3,3.90648,0,0,46,0,16,128
3780,cube,cartesian,3,3.90648,0,0,60,0,16,128
3148,cube,cartesian,3,3.90648,0,0,97,0,16,128
3267,cube,cartesian,3,0.976621,1,20,78,0,16,128
3277,cube,cartesian,3,0.976621,1,3,73,0,16,128
3252,cube,cartesian,3,0.976621,4,54,54,0,16,128
3262,cube,cartesian,3,0.976621,7,7,98,1,16,128
3263,cube,cartesian,3,0.976621,6,6,47,1,16,128
3266,cube,cartesian,3,0.976621,6,96,96,0,16,128
3222,cube,cartesian,3,0.488311,10,10,31,0,16,128
3223,cube,cartesian,3,0.488311,6,6,29,0,16,128
3195,cube,cartesian,3,0.976621,79,79,79,0,16,128
3196,cube,cartesian,3,0.976621,63,63,63,0,16,128
3202,cube,cartesian,3,0.488311,38,38,39,1,16,128
3205,cube,cartesian,3,0.488311,32,32,32,1,16,128
3178,cube,cartesian,3,0.976621,12,12,119,0,16,128
3179,cube,cartesian,3,0.976621,11,11,29,0,16,128
3170,cube,cartesian,3,0.488311,6,6,26,0,16,128
3177,cube,cartesian,3,0.488311,9,9,32,0,16,128
3119,cube,cartesian,3,0.976621,35,35,40,0,16,128
3120,cube,cartesian,3,0.976621,104,104,107,0,16,128
3121,cube,cartesian,3,0.976621,41,41,43,0,16,128
3122,cube,cartesian,3,0.976621,98,98,105,0,16,128
3106,cube,cartesian,3,0.488311,32,32,33,1,16,128
3109,cube,cartesian,3,0.488311,32,32,34,0,16,128
3110,cube,cartesian,3,0.488311,38,38,39,0,16,128
3043,cube,cartesian,3,0.488311,4,4,36,1,16,128
3044,cube,cartesian,3,0.488311,4,32,36,0,16,128
238336,cube,cartesian,3,3.90648,106,107,117,0,16,128
238329,cube,cartesian,3,0.976621,6,8,17,0,16,128
238330,cube,cartesian,3,0.976621,44,44,83,0,16,128
238004,cube,cartesian,3,0.976621,33,33,114,1,16,128
238006,cube,cartesian,3,0.976621,40,40,55,0,16,128
